M B R B' M' B R' B'  (8sq*) 
x' R B R B' M' B R' B' L'  (9sq) 
x M D L M B' M' B R' B'  (9sq) 
x' M U R U' M' U L' M' B'  (9sq) 
R M U B' U M' U' B U' R'  (10sq) 
R M U B' U' M' U B U' R'  (10sq) 
R M U' B' U M' U' B U R'  (10sq) 
R M U' B' U' M' U B U R'  (10sq) 
R U M U' B' U M' U' B R'  (10sq) 
R U' M U B' U' M' U B R'  (10sq) 
U M' U' F U F M F' U' F'  (10sq) 
F' U' F M F' U F' M' F' F'  (10sq) 
F U' F' M F U F M' F' F'  (10sq) 
U M' U' F' U F' M F U' F  (10sq) 
L M B R B' M' B R' B' L'  (10sq) 
R D L M B' M' B R' B' L'  (10sq) 
x2 R U R U' M' U L' M' B' L'  (10sq) 
L' M B R B' M' B R' B' L  (10sq) 
U M' U' B U' B M B' U B'  (10sq) 
B' B' M B' R B' M' B R' B'  (10sq) 
M B L M U' M' U L' M' B'  (10sq) 
U M' U' B' U' B' M B U B  (10sq) 
B' L U M' U' U' M U L' B  (10sq) 
M' M' F U' F M' F' U F' M'  (10sq) 
M' M' F U' F' M' F U F' M'  (10sq) 
M' M' F' U' F M' F' U F M'  (10sq) 
M' M' F' U' F' M' F U F M'  (10sq) 
U F U F M F' U' F' U' M'  (10sq) 
U F' U F' M F U' F U' M'  (10sq) 
M F M F' U' F M' F' U M'  (10sq) 
M F' M F U' F' M' F U M'  (10sq) 
U' B U B M B' U' B' U M'  (10sq) 
U' B' U B' M B U' B U M'  (10sq) 
M' F R' F' M' F R F' M' M'  (10sq) 
R D R D' M' D R' D' R' M  (10sq) 
R' D R' D' M' D R D' R M  (10sq) 
U F' F' U' M' U F' F' U' M  (10sq) 
D R' R' D' M' D R' R' D' M  (10sq) 
x' L' R' R' U B' U M' U' B U' R'  (11sq) 
x L M' M' U B' U M' U' B U' R'  (11sq) 
x' L' R' R' U B' U' M' U B U' R'  (11sq) 
x L M' M' U B' U' M' U B U' R'  (11sq) 
x' L' R' R' U' B' U M' U' B U R'  (11sq) 
x L M' M' U' B' U M' U' B U R'  (11sq) 
x' L' R' R' U' B' U' M' U B U R'  (11sq) 
x L M' M' U' B' U' M' U B U R'  (11sq) 
x' R' B R' B' M' B R B' L' R' R'  (11sq) 
x' L' R' B R' B' M' B R B' R' R'  (11sq) 
x' R' R' U B' U M' U' B U' L' R'  (11sq) 
x' R' R' U B' U' M' U B U' L' R'  (11sq) 
x' R' R' U' B' U M' U' B U L' R'  (11sq) 
x' R' R' U' B' U' M' U B U L' R'  (11sq) 
x L B U B U M U' B' U' B' R'  (11sq) 
x L B U' B U' M U B' U B' R'  (11sq) 
x L M U M U' B' U M' U' B R'  (11sq) 
x L M U' M U B' U' M' U B R'  (11sq) 
x L B' D B D M D' B' D' B R'  (11sq) 
x L B' D' B D' M D B' D B R'  (11sq) 
x' L' F D' D' F' M' F D' D' F' R  (11sq) 
x' L' B R' R' B' M' B R' R' B' R  (11sq) 
x U L F' M B' M' F M B R' F'  (11sq) 
x U M U' M U R' U M' U' L F'  (11sq) 
x' L R B R B' M' B R' B' L' L'  (11sq) 
x L M D L M B' M' B R' B' L'  (11sq) 
x' L M U R U' M' U L' M' B' L'  (11sq) 
x' R B L M U' M' U L' M' B' L'  (11sq) 
x R' M' M' B R B' M' B R' B' L  (11sq) 
x L' M D L M B' M' B R' B' L  (11sq) 
x' L' M U R U' M' U L' M' B' L  (11sq) 
x' M U L' R' R' M' B' M' B R' B'  (11sq) 
x D' D' M D' L M B' M' B R' B'  (11sq) 
x' U' U' M U' R U' M' U L' M' B'  (11sq) 
x' U L' U' M U R U' M' U M' B'  (11sq) 
x' U' R M' U M' U' U' M U L' B  (11sq) 
x D' L B M' B' R' B' M B M B  (11sq) 
x D' L B M' B' B' M B R' M B  (11sq) 
x L M' U R' U' M' U R U' R' M'  (11sq) 
x' L' M U R U' M' U R' U' R M'  (11sq) 
x' R M F U' F M' F' U F' L' M'  (11sq) 
x' R M F U' F' M' F U F' L' M'  (11sq) 
x' R M F' U' F M' F' U F L' M'  (11sq) 
x' R M F' U' F' M' F U F L' M'  (11sq) 
x' R F M F' U' F M' F' U L' M'  (11sq) 
x' R F' M F U' F' M' F U L' M'  (11sq) 
x R' M' F U' F M' F' U F' L M'  (11sq) 
x R' M' F U' F' M' F U F' L M'  (11sq) 
x R' M' F' U' F M' F' U F L M'  (11sq) 
x R' M' F' U' F' M' F U F L M'  (11sq) 
x R' F R' F' M' F R F' L M' M'  (11sq) 
x' M' D L' M' F' M' F R F' M' M'  (11sq) 
x M' U R' U' M' U L M F' M' M'  (11sq) 
x L M D R D' M' D R' D' R' M  (11sq) 
x R F L M D' M' D R' D' R' M  (11sq) 
x' R B R B' M' B L' M' D' R' M  (11sq) 
x' L' M' D R' D' M' D R D' R M  (11sq) 
x' R' B L' M' D' M' D R D' R M  (11sq) 
x R' F R' F' M' F L M D' R M  (11sq) 
x' B L' R' M' D' M' D R' R' D' M  (11sq) 
x F L R M D' M' D R' R' D' M  (11sq) 
x' B R' R' B' M' B L' R' M' D' M  (11sq) 
x F R' R' F' M' F L R M D' M  (11sq) 
U M' U F U' F M F' U F' U' U'  (12sq) 
U M' U F' U' F' M F U F U' U'  (12sq) 
U M' U B U B M B' U' B' U' U'  (12sq) 
U M' U B' U B' M B U' B U' U'  (12sq) 
M U' U' B' L' B M' B' L B U' U'  (12sq) 
U' U' M B' L' B M' B' L B U' U'  (12sq) 
U' B U' B M B' U B' U' M' U' U'  (12sq) 
U' B' U' B' M B U B U' M' U' U'  (12sq) 
U F U' F M F' U F' U M' U' U'  (12sq) 
U F' U' F' M F U F U M' U' U'  (12sq) 
U F' F' U M' U' F' F' U M U' U'  (12sq) 
U F' R' F M' F' R F' M F' F' U'  (12sq) 
U F L F' M' F L' F M F' F' U'  (12sq) 
U F M F M F' F' M' F M' F' U'  (12sq) 
U F' M F' M F' F' M' F' M' F U'  (12sq) 
M' M' U M' B U B M' B' U' B' U'  (12sq) 
M' M' U M' B U' B M' B' U B' U'  (12sq) 
U B' M' B' M B' B' M B M' B' U'  (12sq) 
M' M' U M' B' U B' M' B U' B U'  (12sq) 
M' M' U M' B' U' B' M' B U B U'  (12sq) 
U B M' B M B' B' M B' M' B U'  (12sq) 
M U' F M' F' U M' U' F M F' U  (12sq) 
M U' F M' F' U' M' U F M F' U  (12sq) 
U' F D L D' M' D L' D' M F' U  (12sq) 
M U' F' M' F U M' U' F' M F U  (12sq) 
M U' F' M' F U' M' U F' M F U  (12sq) 
U' F' D' R' D M' D' R D M F U  (12sq) 
M F L F' M F L' F' U' M' M' U  (12sq) 
B U' B M B' U B' M U' M' M' U  (12sq) 
B U' B' M B U B' M U' M' M' U  (12sq) 
B' U' B M B' U B M U' M' M' U  (12sq) 
B' U' B' M B U B M U' M' M' U  (12sq) 
R U' M U' B' U M' U' B U' U' R'  (12sq) 
R U M U B' U' M' U B U' U' R'  (12sq) 
R U' U' M U' B' U M' U' B U' R'  (12sq) 
x2 L' L' R' M' U B' U M' U' B U' R'  (12sq) 
R U' U' M U' B' U' M' U B U' R'  (12sq) 
x2 L' L' R' M' U B' U' M' U B U' R'  (12sq) 
R D U R D' M' D R' D' M U' R'  (12sq) 
x2 L' L' R' M' U' B' U M' U' B U R'  (12sq) 
R U' U' M U B' U M' U' B U R'  (12sq) 
x2 L' L' R' M' U' B' U' M' U B U R'  (12sq) 
R U' U' M U B' U' M' U B U R'  (12sq) 
x2 M' B R' B' M' B R B' L' L' R' R'  (12sq) 
x2 L' M' B R' B' M' B R B' L' R' R'  (12sq) 
x2 R' U L' M' B' M' B R B' L' R' R'  (12sq) 
R' D R' D' M' D L M B' L' R' R'  (12sq) 
x2 L' L' M' B R' B' M' B R B' R' R'  (12sq) 
R' R' M B R' B' M' B R B' R' R'  (12sq) 
x2 L' R' U L' M' B' M' B R B' R' R'  (12sq) 
L' R' D R' D' M' D L M B' R' R'  (12sq) 
U M' U' R F U F M F' U' F' R'  (12sq) 
U M' U' R F' U F' M F U' F R'  (12sq) 
R F' M' F M B' M' F' M B F R'  (12sq) 
R D R D M D' R' D M' D' D' R'  (12sq) 
x2 L' R' M' U B' U M' U' B U' L' R'  (12sq) 
L R M U B' U M' U' B U' L' R'  (12sq) 
x2 L' R' M' U B' U' M' U B U' L' R'  (12sq) 
L R M U B' U' M' U B U' L' R'  (12sq) 
x2 L' R' M' U' B' U M' U' B U L' R'  (12sq) 
L R M U' B' U M' U' B U L' R'  (12sq) 
x2 L' R' M' U' B' U' M' U B U L' R'  (12sq) 
L R M U' B' U' M' U B U L' R'  (12sq) 
x2 R' M' U B' U M' U' B U' L' L' R'  (12sq) 
x2 R' M' U B' U' M' U B U' L' L' R'  (12sq) 
x2 R' M' U' B' U M' U' B U L' L' R'  (12sq) 
x2 R' M' U' B' U' M' U B U L' L' R'  (12sq) 
L R U M U' B' U M' U' B L' R'  (12sq) 
L R U' M U B' U' M' U B L' R'  (12sq) 
R M' B U B U M U' B' U' B' R'  (12sq) 
R M' B U' B U' M U B' U B' R'  (12sq) 
U L F' U F' L' U R B' U B' R'  (12sq) 
U M' U' R B U' B M B' U B' R'  (12sq) 
R B M B' M' B' M B' M' B' B' R'  (12sq) 
U M' U' R B' U' B' M B U B R'  (12sq) 
R M' B' D B D M D' B' D' B R'  (12sq) 
R M B' D B D' M' D B' D' B R'  (12sq) 
