x2 U' M' U' M' U M U M'  (8sq*) 
x' L B' M' B' M' B M B R'  (9sq) 
x2 U' F R' F' M' M' F R F' U  (10sq) 
x2 R M' B' M' B' M' B M B R'  (10sq) 
x2 R' F M F M' M' F' M' F' R  (10sq) 
x2 M' F R' D F M' F' D' R F'  (10sq) 
x2 F' L' F U' M' M' U F' L F  (10sq) 
x2 F L' F U' M' U F' L F' M'  (10sq) 
x2 F U' L F M' F' L' U F' M'  (10sq) 
x2 L U' M' U' M' U M U L' M'  (10sq) 
x2 L' U' M' U' M' U M U L M'  (10sq) 
x2 U' F M' U' M' U M F' U M'  (10sq) 
x2 U' F' M' U' M' U M F U M'  (10sq) 
x2 M' U' M U' M U M' M' U M'  (10sq) 
x2 M' U M U M' M' U' M' U' M  (10sq) 
x2 M U' M' U M' M' U M' U' M  (10sq) 
x2 M U M' M' U M U' M U' M  (10sq) 
x2 F L' F U M U' F' L F' M  (10sq) 
x F' D L' M' F' M' M' F R F' U  (11sq) 
x' B' U R' U' M' M' U L M F' U  (11sq) 
x' B' R' U' M' U M U M' U' L U  (11sq) 
x' L U L' U B' M' B U' L U' R'  (11sq) 
x' L U B' L U M' U' L' B U' R'  (11sq) 
x' L' B' M' B' M' B M B L' L' R'  (11sq) 
x' L' L' B' M' B' M' B M B L' R'  (11sq) 
x' L B' U M' B' M' B M U' B R'  (11sq) 
x' L B' U' M' B' M' B M U B R'  (11sq) 
x' L M' B' M B' M B M' M' B R'  (11sq) 
x L' M' F M F M' M' F' M' F' R  (11sq) 
x L' M F' M' F M' M' F M' F' R  (11sq) 
x L' M F M' M' F M F' M F' R  (11sq) 
x L' D L' D F M F' D' L D' R  (11sq) 
x M' D L' M' D F M' F' D' R F'  (11sq) 
x' M' U R' F U M' U' F' L M F'  (11sq) 
x' U' R' M F U' M' M' U F' L F  (11sq) 
x D' L' D F' M' M' F D' R M' F  (11sq) 
x' R' F R' D F M' F' D' R F' L  (11sq) 
x' U R' M F U' M' U F' L F' M'  (11sq) 
x D F' R M' F M' F' L' U F' M'  (11sq) 
x' U B' L U M' U' R' M U F' M'  (11sq) 
x D L' D F' M' F D' R M' F' M'  (11sq) 
