x F R' D F' M F D' R F'  (9sq*) 
D L' M' D F' M F D' R F'  (10sq) 
x2 U R' F U' M U F' L M F'  (10sq) 
x U' R B' R' U M U' R B R' U  (11sq) 
x U' L' B L U' M U L' B' L U  (11sq) 
x R' D F' L D' M D L' F D' R  (11sq) 
x F D R' D F' M F D' R D' F'  (11sq) 
x F D' R' D F' M F D' R D F'  (11sq) 
x M F L' F' U' M U M' F L F'  (11sq) 
x F L' M' F U' M U F' L M F'  (11sq) 
x D' F R' F' D M D' F R F' D  (11sq) 
x L F R' D F' M F D' R F' L'  (11sq) 
x L' F R' D F' M F D' R F' L  (11sq) 
x M' F U' L F' M' F L' U F' M'  (11sq) 
x M' F' U' L F' M' F L' U F M'  (11sq) 
x M' B U L' B M' B' L U' B' M'  (11sq) 
x M' U B L' B M' B' L B' U' M'  (11sq) 
x M' U B' R B' M' B R' B U' M'  (11sq) 
x M' U' F R' F M' F' R F' U M'  (11sq) 
x M' U' F' L F' M' F L' F U M'  (11sq) 
x B R D' B M' B' D R' B' M' M'  (11sq) 
x F R' D F' M' F D' R F' M' M'  (11sq) 
x F' R' D F' M' F D' R F M' M'  (11sq) 
x M' F U' L F' M F L' U F' M  (11sq) 
x2 B' L M B' R' U M U' R B R' U  (12sq) 
F' R U' L' M' U M U' R B R' U  (12sq) 
x2 B' R D' R' B M B' L M B R' U  (12sq) 
x2 B' R' M B L U' M U L' B' L U  (12sq) 
F' L' U R M' U' M U L' B' L U  (12sq) 
x2 B' L' D L B' M B R' M B' L U  (12sq) 
x2 B' L U' L' B M' B' L U R' M' U  (12sq) 
F' L' U L F' M F L' U' R M' U  (12sq) 
F' R U' R' F M F' R U L' M' U  (12sq) 
x2 B' R' U R B' M' B R' U' L M' U  (12sq) 
x2 L M' U B' L U' M' U L' B U' R'  (12sq) 
x2 L M' U' B' L U' M' U L' B U R'  (12sq) 
x2 M U' B' M B M' U L U' M U R'  (12sq) 
x2 L M' D B L' D M' D' L B' D' R'  (12sq) 
x2 L M' B D L' D M' D' L D' B' R'  (12sq) 
x2 L M' B D' R D' M' D R' D B' R'  (12sq) 
x2 L M' B' U R' U M' U' R U' B R'  (12sq) 
x2 L M' B' U' L U' M' U L' U B R'  (12sq) 
x2 F L' F' M' F L F' L B' M' B R'  (12sq) 
L' M' D F' L D' M D L' F D' R  (12sq) 
R' B D' R M' D' M D L' F D' R  (12sq) 
x2 R' F U' L F' M F R' M F D' R  (12sq) 
D B L' M' D F' M F D' R D' F'  (12sq) 
x2 U F R' F U' M U F' L M D' F'  (12sq) 
D B' L' M' D F' M F D' R D F'  (12sq) 
x2 U F' R' F U' M U F' L M D F'  (12sq) 
x2 M U R' M F' U' M U M' F L F'  (12sq) 
D R' B D' M D B' L' R' R' M' F'  (12sq) 
M D L' D' F' M F M' D R M' F'  (12sq) 
B' D L' M' F' D M D' F R F' D  (12sq) 
x2 F' U R' U' F M F' U L M F' D  (12sq) 
R M' F R' D F' M F D' R F' L'  (12sq) 
L D L' M' D F' M F D' R F' L'  (12sq) 
R F L' F' U' M U M' F L F' L'  (12sq) 
x2 L U R' F U' M U F' L M F' L'  (12sq) 
x2 R' M F R' D F' M F D' R F' L  (12sq) 
L' D L' M' D F' M F D' R F' L  (12sq) 
x2 L' U R' F U' M U F' L M F' L  (12sq) 
M' D F' R M' F' M' F L' U F' M'  (12sq) 
x2 M' U B' L U' M' U R' M U F' M'  (12sq) 
M' D' F' R M' F' M' F L' U F M'  (12sq) 
x2 M' U' B' L U' M' U R' M U F M'  (12sq) 
x2 L D R F' D M' D' F R' D' R' M'  (12sq) 
x2 L U R' F U' M' U F' R U' R' M'  (12sq) 
x2 L U' R' F U' M' U F' R U R' M'  (12sq) 
L' D R' B D' M D B' R D' R M'  (12sq) 
x2 M' D B R' M B M' B' L U' B' M'  (12sq) 
M' U F L' U M' U' R M' U' B' M'  (12sq) 
x2 R' F U' L F' M' F L' U F' L M'  (12sq) 
x2 R' F' U' L F' M' F L' U F L M'  (12sq) 
x2 R' B U L' B M' B' L U' B' L M'  (12sq) 
x2 R' U B L' B M' B' L B' U' L M'  (12sq) 
x2 R' U B' R B' M' B R' B U' L M'  (12sq) 
x2 R' U' F R' F M' F' R F' U L M'  (12sq) 
x2 R' U' F' L F' M' F L' F U L M'  (12sq) 
x2 M' B D R' M B M' B' L B' U' M'  (12sq) 
M' F U L' U M' U' R M' B' U' M'  (12sq) 
x2 M' B D' L M B' M' B R' B U' M'  (12sq) 
M' F U' R U' M' U L' M' B U' M'  (12sq) 
M' F' D L' M' F M' F' R F' U M'  (12sq) 
x2 M' B' U R' U M' U' L M F' U M'  (12sq) 
M' F' D' R M' F' M' F L' F U M'  (12sq) 
x2 M' B' U' L U' M' U R' M F U M'  (12sq) 
x2 D L M D' B M' B' D R' B' M' M'  (12sq) 
U R B' U M' U' B L' M' B' M' M'  (12sq) 
D L' M' D F' M' F D' R F' M' M'  (12sq) 
x2 U R' F U' M' U F' L M F' M' M'  (12sq) 
D' L' M' D F' M' F D' R F M' M'  (12sq) 
x2 U' R' F U' M' U F' L M F M' M'  (12sq) 
x2 L U R' F U' M U F' R U' R' M  (12sq) 
L' U R B' U M' U' B R' U' R M  (12sq) 
L' D R' B D' M' D B' R D' R M  (12sq) 
L' D' R' B D' M' D B' R D R M  (12sq) 
M' D F' R M' F' M F L' U F' M  (12sq) 
x2 M' U B' L U' M U R' M U F' M  (12sq) 
x2 R' F U' L F' M F L' U F' L M  (12sq) 
x U' U' F' L D' F M F' D L' F U' U'  (13sq) 
x M' U' F R' F M' F' R F' U' M' U' U'  (13sq) 
x M' U' F' L F' M' F L' F U' M' U' U'  (13sq) 
x M' U B L' B M' B' L B' U M' U' U'  (13sq) 
x M' U B' R B' M' B R' B U M' U' U'  (13sq) 
x M U R U L' M B M' B' L U' R' U'  (13sq) 
x U F R F' B' U M U' B F R' F' U'  (13sq) 
x U F L D' U' F M F' D U L' F' U'  (13sq) 
x U F' R' D U F' M F D' U' R F U'  (13sq) 
x U F' L' F B U' M U B' F' L F U'  (13sq) 
x R B' M B R' M' U L U' M U L' U'  (13sq) 
x M U L' U' R M B' M' B R' U L U'  (13sq) 
x L' B L U' M' U L' B' L U M' M' U'  (13sq) 
x' D' R' B R D' M' D R' B' L' L' R' U  (13sq) 
x U' L M U' L' M' U M U' R B R' U  (13sq) 
x' D' L M D' R' B M B' L M B R' U  (13sq) 
x U' R B' L' M' B M B' L M B R' U  (13sq) 
x M U' F U L' U' M U L M' U' F' U  (13sq) 
x F R' M' F' M F R F' U' F M F' U  (13sq) 
x M U' F' U' R U M U' R' M' U F U  (13sq) 
x R' F M' F' R M U' L' U' M U L U  (13sq) 
x U' R' M U R M' U' M U L' B' L U  (13sq) 
x' D' R' M D L B' M B R' M B' L U  (13sq) 
x U' L' B R M' B' M B R' M B' L U  (13sq) 
x M U' B U M' M' B' M B M U' B' U  (13sq) 
x M U' B U' M' M' B' M B M U B' U  (13sq) 
x U' M' M' B R D' B M' B' D R' B' U  (13sq) 
x M U' M U M' B M' B' U' B M B' U  (13sq) 
x B M U' M U M' M' B' U' B M B' U  (13sq) 
x M U' B M' B' M U M' U' B M B' U  (13sq) 
x M U' M U' M' B M' B' U B M B' U  (13sq) 
x M U' B M' B' M U' M' U B M B' U  (13sq) 
x M U' B U M' U' M' B' M B M B' U  (13sq) 
x M U' B U' M' U M' B' M B M B' U  (13sq) 
x M U' B' U M' M' B M B' M U' B U  (13sq) 
x M U' B' U' M' M' B M B' M U B U  (13sq) 
x U' M' M' B' L' D B' M' B D' L B U  (13sq) 
x M U' M U M' B' M' B U' B' M B U  (13sq) 
x B' M U' M U M' M' B U' B' M B U  (13sq) 
x M U' B' M' B M U M' U' B' M B U  (13sq) 
x M U' M U' M' B' M' B U B' M B U  (13sq) 
x M U' B' M' B M U' M' U B' M B U  (13sq) 
x M U' B' U M' U' M' B M B' M B U  (13sq) 
x M U' B' U' M' U M' B M B' M B U  (13sq) 
x U' R M' U' L' B M' B' L U R' M' U  (13sq) 
x' D' L B' R' M B M' B' L U R' M' U  (13sq) 
x U' L F' L' U M' U' R M' U R' M' U  (13sq) 
x U' R' M U L F' M F L' U' R M' U  (13sq) 
x' D' L' F R M' F' M F L' U' R M' U  (13sq) 
x U' L' B L U' M U R' M U' R M' U  (13sq) 
x U' L M U' R' F M F' R U L' M' U  (13sq) 
x' D' R F' L' M' F M F' R U L' M' U  (13sq) 
x U' R B' R' U M U' L M U L' M' U  (13sq) 
x U' L' M' U R B' M' B R' U' L M' U  (13sq) 
x' D' R' B L M B' M' B R' U' L M' U  (13sq) 
x U' R' F R U' M' U L' M' U' L M' U  (13sq) 
x U' R' F R U' M' U R' F' R M' M' U  (13sq) 
x B L' D B' M' B D' L B' U' M' M' U  (13sq) 
x U' L F' L' U M' U' L F L' M' M' U  (13sq) 
x R B' M B M' U L U' M U L' U' R'  (13sq) 
x R M U L' U' M B' M' B U L U' R'  (13sq) 
x' L' L' R' U B' L U' M' U L' B U' R'  (13sq) 
x R M' M' U B' L U' M' U L' B U' R'  (13sq) 
x L M' F U' R M' U' M' U L' B U' R'  (13sq) 
x' L M' B D' L B' M' B R' M B U' R'  (13sq) 
x U' B L B' R U' B' M U B L' U R'  (13sq) 
x R M U' L' U' M B' M' B U L U R'  (13sq) 
x' L' L' R' U' B' L U' M' U L' B U R'  (13sq) 
x R M' M' U' B' L U' M' U L' B U R'  (13sq) 
x L M' F' U' R M' U' M' U L' B U R'  (13sq) 
x' L' R' U' M' U L' U' M B' M' B U R'  (13sq) 
x' L M' B' D' L B' M' B R' M B U R'  (13sq) 
x M F' U' M U M' F R M' U' M U R'  (13sq) 
x' U' M' U L' L' D' U' M' D M U R' R'  (13sq) 
x' L' L' F R U' F M' F' U R' F' R' R'  (13sq) 
x' L' F R U' F M' F' U R' F' L' R' R'  (13sq) 
x' F R U' F M' F' U R' F' L' L' R' R'  (13sq) 
x' B R' U B' M' B U' R B' L' L' R' R'  (13sq) 
x' B' R' U B' M' B U' R B L' L' R' R'  (13sq) 
x' L' B R' U B' M' B U' R B' L' R' R'  (13sq) 
x' L' B' R' U B' M' B U' R B L' R' R'  (13sq) 
x' L' L' B R' U B' M' B U' R B' R' R'  (13sq) 
x' L' L' B' R' U B' M' B U' R B R' R'  (13sq) 
x R F R' D R' F' M F R D' R F' R'  (13sq) 
x' L' L' R' D B L' D M' D' L B' D' R'  (13sq) 
x R M' M' D B L' D M' D' L B' D' R'  (13sq) 
x' L M' F D R' M D M' D' L B' D' R'  (13sq) 
x L M' B U L' B M' B' R M' B' D' R'  (13sq) 
x' L' R' U B' L U' M' U L' B U' L' R'  (13sq) 
x' L' R' U' B' L U' M' U L' B U L' R'  (13sq) 
x' R' U' M' U L' U' M B' M' B U L' R'  (13sq) 
x R U' B' M B M' U L U' M U L' R'  (13sq) 
x' L' R' D B L' D M' D' L B' D' L' R'  (13sq) 
x' R' U B' L U' M' U L' B U' L' L' R'  (13sq) 
x' R' U' B' L U' M' U L' B U L' L' R'  (13sq) 
x' R' D B L' D M' D' L B' D' L' L' R'  (13sq) 
x' R' B D L' D M' D' L D' B' L' L' R'  (13sq) 
x' R' B D' R D' M' D R' D B' L' L' R'  (13sq) 
x' R' B' U R' U M' U' R U' B L' L' R'  (13sq) 
x' R' B' U' L U' M' U L' U B L' L' R'  (13sq) 
x' L' R' B D L' D M' D' L D' B' L' R'  (13sq) 
x' L' R' B D' R D' M' D R' D B' L' R'  (13sq) 
x' L' R' B' U R' U M' U' R U' B L' R'  (13sq) 
x' L' R' B' U' L U' M' U L' U B L' R'  (13sq) 
x R B U L' U B M B' U' L U' B' R'  (13sq) 
x R B U' R U' B' M B U R' U B' R'  (13sq) 
x' L' L' R' B D L' D M' D' L D' B' R'  (13sq) 
x R M' M' B D L' D M' D' L D' B' R'  (13sq) 
x' L M' D F R' M D M' D' L D' B' R'  (13sq) 
x L M' U B L' B M' B' R M' D' B' R'  (13sq) 
