x2 U' M' U M' U' M U M'  (8sq*) 
x' L B' M' B M' B' M B R'  (9sq) 
x2 U' M' U' M' U M U' M' U' U'  (10sq) 
x2 R M' B' M' B M' B' M B R'  (10sq) 
x2 R' F' M' F M' M' F' M F R  (10sq) 
x2 M F L' F U' M U F' L F'  (10sq) 
x2 F M' U' F' M' M' F U M F'  (10sq) 
x2 F' M' U' F M' M' F' U M F  (10sq) 
x2 R B M B M' B' M' B' R' M'  (10sq) 
x2 B R D' B' M' B D R' B' M'  (10sq) 
x2 B M U B M' B' U' M' B' M'  (10sq) 
x2 B' M U B' M' B U' M' B M'  (10sq) 
x2 L U' M' U M' U' M U L' M'  (10sq) 
x2 L' U' M' U M' U' M U L M'  (10sq) 
x2 U' F M' U M' U' M F' U M'  (10sq) 
x2 U' F' M' U M' U' M F U M'  (10sq) 
x2 M' U' M U M U' M' M' U M'  (10sq) 
x2 M U M U M' U' M' U' M' M'  (10sq) 
x2 M' U' M' U M U' M U M' M'  (10sq) 
x2 R' F' M' F M F' M F R M  (10sq) 
x2 M U' M' M' U M' U' M' U M  (10sq) 
x2 M' U' M' U M' M' U' M U M  (10sq) 
x2 M U M U M' M' U M U M  (10sq) 
x2 F R' D F M F' D' R F' M  (10sq) 
x2 F M' U' F' M F U M F' M  (10sq) 
x2 F' M' U' F M F' U M F M  (10sq) 
x' L R D M D M' D' M' D' R' R'  (11sq) 
x L' R' D' M' D M D' M D R' R'  (11sq) 
x R' D' M' D M D' M D L' R' R'  (11sq) 
x' L D R F' D' M' D F R' D' R'  (11sq) 
x' L D M B D M' D' B' M' D' R'  (11sq) 
x' L D' M B D' M' D B' M' D R'  (11sq) 
x' L' B' M' B M' B' M B L' L' R'  (11sq) 
x' L' L' B' M' B M' B' M B L' R'  (11sq) 
x' L B' U M' B M' B' M U' B R'  (11sq) 
x' L B' U' M' B M' B' M U B R'  (11sq) 
x' L M' B' M B M B' M' M' B R'  (11sq) 
x L' M F' M' M' F M' F' M' F R  (11sq) 
x L' M' F' M' F M' M' F' M F R  (11sq) 
x L' M F M F M' M' F M F R  (11sq) 
x L' D R' B D M D' B' R D' R  (11sq) 
x L' D M' F' D' M D F M D' R  (11sq) 
x L' D' M' F' D M D' F M D R  (11sq) 
x' M U R' M F U' M U F' L F'  (11sq) 
x M D L' D F' M F D' R M' F'  (11sq) 
x' D M B' M' F M D' M U M F'  (11sq) 
x R F L' F U' M U F' L F' L'  (11sq) 
x' L M B M B M' B' M' B' R' M'  (11sq) 
x' L M' B' M' B M B' M B R' M'  (11sq) 
x' D L M D' B' M' B D R' B' M'  (11sq) 
x U R B' U' M' U B L' M' B' M'  (11sq) 
x R M' U' M' U M' U' M U L' M'  (11sq) 
x' R' U' M U M U' M' M' U L M'  (11sq) 
x' R' M U' M' U M' U' M U L M'  (11sq) 
x L' F' M' F M' F' M F R M' M'  (11sq) 
x R U M U M' U' M' U' L' M' M'  (11sq) 
x' R' U' M' U M U' M U L M' M'  (11sq) 
x L' M F M F M' F' M' F' R M  (11sq) 
x L' M' F' M' F M F' M F R M  (11sq) 
x D L' M' D F M F' D' R F' M  (11sq) 
x' U R' F U M U' F' L M F' M  (11sq) 
x R U' M' M' U M' U' M' U L' M  (11sq) 
x R U M U M' M' U M U L' M  (11sq) 
x' R' U' M' U M' M' U' M U L M  (11sq) 
x2 U' F M' U' M' U M F' U' M' U' U'  (12sq) 
x2 U' F' M' U' M' U M F U' M' U' U'  (12sq) 
x2 M' U' M U' M U M' M' U' M' U' U'  (12sq) 
x2 M' U' M' U' M U M U' M' M' U' U'  (12sq) 
x2 M U M U' M' U M' U M' M' U' U'  (12sq) 
x2 M U' M' M' U' M' U M' U' M U' U'  (12sq) 
x2 M U M U' M' M' U' M U' M U' U'  (12sq) 
x2 M' U' M' U' M' M' U M U' M U' U'  (12sq) 
x2 M' U F L' F U' M' U F' L F' U'  (12sq) 
x2 M' U F' R F' U M' U' F R' F U'  (12sq) 
x2 M U' R B' M' B M B' M B R' U  (12sq) 
x2 M U' L' B M' B' M B M B' L U  (12sq) 
x2 U' B R U' B' M' M' B U R' B' U  (12sq) 
x2 U' B' L' U B M' M' B' U' L B U  (12sq) 
x2 M U' M' U M U' M' U M' U' M' U  (12sq) 
x2 M U' M U M' U' M U M U' M' U  (12sq) 
x2 M U' M' U' M U M' U' M' U M' U  (12sq) 
x2 M U' M U' M' U M U' M U M' U  (12sq) 
x2 R' R' M' D M D M' D' M' D' R' R'  (12sq) 
L' L' M D M D M' D' M' D' R' R'  (12sq) 
L' L' M' D' M' D M D' M D R' R'  (12sq) 
x2 R' R' M D' M' D M D' M D R' R'  (12sq) 
L' M D M D M' D' M' D' L' R' R'  (12sq) 
L' M' D' M' D M D' M D L' R' R'  (12sq) 
M D M D M' D' M' D' L' L' R' R'  (12sq) 
M' D' M' D M D' M D L' L' R' R'  (12sq) 
x2 R M' D R F' D' M' D F R' D' R'  (12sq) 
L F L M F' D' M' D F R' D' R'  (12sq) 
x2 R M' D M B D M' D' B' M' D' R'  (12sq) 
x2 L B R D' B' M' B D L' M' D' R'  (12sq) 
x2 R M' D' M B D' M' D B' M' D R'  (12sq) 
R' B' M B M B' M' M' B L' L' R'  (12sq) 
R' M B' M' B M' B' M B L' L' R'  (12sq) 
L' R' B' M B M B' M' M' B L' R'  (12sq) 
x2 L R M' B' M' B M' B' M B L' R'  (12sq) 
L' R' M B' M' B M' B' M B L' R'  (12sq) 
x2 R M' B' U M' B M' B' M U' B R'  (12sq) 
x2 R M' B' U' M' B M' B' M U B R'  (12sq) 
L' L' R' B' M B M B' M' M' B R'  (12sq) 
x2 R M' M' B' M B M B' M' M' B R'  (12sq) 
L' L' R' M B' M' B M' B' M B R'  (12sq) 
x2 R B' B' M' B M' B M' B' M B R'  (12sq) 
x2 R' U R B' U' M' M' U B R' U' R  (12sq) 
x2 R' U' R B' U' M' M' U B R' U R  (12sq) 
x2 R' F' D M' F M' M' F' M D' F R  (12sq) 
x2 R' F' D' M' F M' M' F' M D F R  (12sq) 
x2 R' M' M' F' M' M' F M' F' M' F R  (12sq) 
R' B' M' B L' L' R' R' F' M F R  (12sq) 
x2 R' M' M' F M F M' M' F M F R  (12sq) 
x2 R' M D R' B D M D' B' R D' R  (12sq) 
L' B L' M' B D M D' B' R D' R  (12sq) 
x2 R' M D M' F' D' M D F M D' R  (12sq) 
x2 L' F R' D F M F' D' L M D' R  (12sq) 
x2 R' M D' M' F' D M D' F M D R  (12sq) 
L R F' M' M' F M' F' M' F L R  (12sq) 
x2 L' R' F' M' F M' M' F' M F L R  (12sq) 
L R F M F M' M' F M F L R  (12sq) 
x2 F D M' U' F' M' M' F U M D' F'  (12sq) 
x2 F D' M' U' F' M' M' F U M D F'  (12sq) 
x2 F' F' M F' L' F U' M U F' L F'  (12sq) 
