x F R' F' M F R F'  (7sq*) 
D L' M' F' M F R F'  (8sq) 
x2 U R' U' M U L M F'  (8sq) 
x R' D F' D' M D F D' R  (9sq) 
x R' D' F' D M D' F D R  (9sq) 
x M' M' F R' F M' F' R F'  (9sq) 
x F L' M' U' M U L M F'  (9sq) 
x L F R' F' M F R F' L'  (9sq) 
x L' F R' F' M F R F' L  (9sq) 
x B R B M' B' R' B' M' M'  (9sq) 
x U' M' U M U M' U' M' M'  (9sq) 
x M' F U' F' M F U F' M  (9sq) 
x M' F' U' F M F' U F M  (9sq) 
D F D' L' U' R' F' R U R  (10sq) 
L' M' D F' D' M D F D' R  (10sq) 
L' M' D' F' D M D' F D R  (10sq) 
M' M' D L' M' F M' F' R F'  (10sq) 
D R' D' M D L' R' R' M' F'  (10sq) 
x2 M' M' U R' U M' U' L M F'  (10sq) 
R M F R' F M' F' R F' L'  (10sq) 
R M' F R' F' M F R F' L'  (10sq) 
L D L' M' F' M F R F' L'  (10sq) 
x2 L U R' U' M U L M F' L'  (10sq) 
x2 R' M' F R' F M' F' R F' L  (10sq) 
x2 R' M F R' F' M F R F' L  (10sq) 
L' D L' M' F' M F R F' L  (10sq) 
x2 L' U R' U' M U L M F' L  (10sq) 
x2 L D R D M' D' R' D' R' M'  (10sq) 
x2 L B' M' B M B M' B' R' M'  (10sq) 
L' D R' D' M D R D' R M'  (10sq) 
x2 D L M B M' B' R' B' M' M'  (10sq) 
U R U M' U' L' M' B' M' M'  (10sq) 
x2 L U R' U' M U R U' R' M  (10sq) 
L' U R U M' U' R' U' R M  (10sq) 
L' F' M' F M F M' F' R M  (10sq) 
x2 R' F U' F' M F U F' L M  (10sq) 
x2 R' F' U' F M F' U F L M  (10sq) 
x M U M' F' L F' M F L' F U'  (11sq) 
x U F' L' F U' M U F' L F U'  (11sq) 
x M' U L' B M' B' B' M' B L U'  (11sq) 
x M' F' F' U' M' U F' F' U M' U'  (11sq) 
x F' F' M' U' M' U F' F' U M' U'  (11sq) 
x M' U M U M' U' U' M' U M' U'  (11sq) 
