x' B' R B' M' B R' B  (7sq*) 
D' L M B' M' B R' B  (8sq) 
x2 U' R U' M' U L' M' B  (8sq) 
x' R D B D M' D' B' D' R'  (9sq) 
x' R D' B D' M' D B' D R'  (9sq) 
x' L B' R B' M' B R' B L'  (9sq) 
x' L' B' R B' M' B R' B L  (9sq) 
x' B' L M U' M' U L' M' B  (9sq) 
x' M B U B M' B' U' B' M'  (9sq) 
x' M B' U B' M' B U' B M'  (9sq) 
x' U M U M' U M U M' M'  (9sq) 
L M D B D M' D' B' D' R'  (10sq) 
L M D' B D' M' D B' D R'  (10sq) 
x2 R M' B' R B' M' B R' B L'  (10sq) 
L D' L M B' M' B R' B L'  (10sq) 
x2 L U' R U' M' U L' M' B L'  (10sq) 
R' M B' R B' M' B R' B L  (10sq) 
L' D' L M B' M' B R' B L  (10sq) 
x2 L' U' R U' M' U L' M' B L  (10sq) 
x2 U' L' R' R' M' B' M' B R' B  (10sq) 
L B M B M' B M B R' M'  (10sq) 
x2 L' U' R U' M' U R' U R M'  (10sq) 
x2 R B U B M' B' U' B' L' M'  (10sq) 
x2 R B' U B' M' B U' B L' M'  (10sq) 
L D' R D' M' D R' D R' M  (10sq) 
x2 L' F M F M' F M F R M  (10sq) 
x' U' U' F' L F' M' F L' F U' U'  (11sq) 
x' M U R B' M' B' B' M' B' R' U'  (11sq) 
x' M' U M' F R' F M F' R F' U'  (11sq) 
x' U B' U' R B' M' B R' U B U'  (11sq) 
x' M U M U' M' U' U' M' U' M' U'  (11sq) 
x' M U' M' U M' U' U' M U' M' U'  (11sq) 
x' U' M U M U' M U' M U' M' U'  (11sq) 
x' U' F' U' L F' M' F L' U F U  (11sq) 
x L' L' D M D M' D M D R' R'  (11sq) 
x L' D M D M' D M D L' R' R'  (11sq) 
x D M D M' D M D L' L' R' R'  (11sq) 
x' R' R' B' R' B' M' B R B R' R'  (11sq) 
x' L R D B D M' D' B' D' L' R'  (11sq) 
x' L R D' B D' M' D B' D L' R'  (11sq) 
x' R B' D B' D' M' D B D' B R'  (11sq) 
x' R B' D' B' D M' D' B D B R'  (11sq) 
x' R' B' R' R' B' M' B R' R' B R  (11sq) 
x' F R' F M F' R F M' M' F' F'  (11sq) 
x' D R B R' D M' D' R B' R' D'  (11sq) 
x' D' D' B' R B M' B' R' B D' D'  (11sq) 
x' D M U M' D M' D' M U' M' D'  (11sq) 
x' D' R B R' D' M' D R B' R' D  (11sq) 
x' D' M U M' D' M' D M U' M' D  (11sq) 
x' L' L' B' R B' M' B R' B L' L'  (11sq) 
x' R M' D' L M B' M' B R' B L'  (11sq) 
x R M' U' R U' M' U L' M' B L'  (11sq) 
x' L B' L M U' M' U L' M' B L'  (11sq) 
x R' M D' L M B' M' B R' B L  (11sq) 
x' R' M U' R U' M' U L' M' B L  (11sq) 
x' L' B' L M U' M' U L' M' B L  (11sq) 
x' M' B L U M' U' U' M U L' B'  (11sq) 
x' B' R B D' D' M' D' D' B' R' B  (11sq) 
x' B' R B' M' M' B' B' M B' R' B  (11sq) 
x' B' R B' U' U' M' U' U' B R' B  (11sq) 
x' M B' B' M' B R B' M' B R' B  (11sq) 
x' M' B' B' M B R B' M' B R' B  (11sq) 
x F' L' L' R' M' M' B' M' B R' B  (11sq) 
x F' R F' L' L' R' R' M B R' B  (11sq) 
x' B' D' R D B' M' B D' R' D B  (11sq) 
x' B' L B M U' M' U M' B' L' B  (11sq) 
x' B' L B' M U' M' U M' B L' B  (11sq) 
x F' L' R' R' M' U' M' U L' M' B  (11sq) 
x' F' R' F M' F' R F' M F' F' M'  (11sq) 
x' R M' B M B M' B M B R' M'  (11sq) 
x' R M U' R' U' M' U R U R' M'  (11sq) 
x' R' M U' R U' M' U R' U R M'  (11sq) 
x' L' B' L M U' M' U R' U R M'  (11sq) 
x L' F' R F' M' F L' M' U R M'  (11sq) 
x' D M D M' U M D' M' U' D' M'  (11sq) 
x' B R B M' B' R' B M B' B' M'  (11sq) 
x' B' B' M B' U B M' B' U' B' M'  (11sq) 
x' B' B' M B U B' M' B U' B M'  (11sq) 
x' L M B U B M' B' U' B' L' M'  (11sq) 
x' L M B' U B' M' B U' B L' M'  (11sq) 
x' L' M B U B M' B' U' B' L M'  (11sq) 
x' L' M B' U B' M' B U' B L M'  (11sq) 
x' M' U F U' F M F' U F' U' M'  (11sq) 
x' M' U F' U' F' M F U F U' M'  (11sq) 
x' U' U' F M F' U F M' F' U M'  (11sq) 
x' U' U' F' M F U F' M' F U M'  (11sq) 
x' U' M' B R B' M B R' B' U M'  (11sq) 
x' M' U' B U' B M B' U B' U M'  (11sq) 
x' M U' B U' B' M' B U B' U M'  (11sq) 
x' M U' B' U' B M' B' U B U M'  (11sq) 
x' M' U' B' U' B' M B U B U M'  (11sq) 
x' F U F M F' U' F' U' M' U M'  (11sq) 
x' F' U F' M F U' F U' M' U M'  (11sq) 
x' U' F U' F' M F U F' M' U M'  (11sq) 
x' U' F' U' F M F' U F M' U M'  (11sq) 
