M B' R B' M' B R' B  (8sq*) 
x' R B' R B' M' B R' B L'  (9sq) 
x M D' L M B' M' B R' B  (9sq) 
x' M U' R U' M' U L' M' B  (9sq) 
U M' F R' F M F' R F' U'  (10sq) 
R M D B D M' D' B' D' R'  (10sq) 
R M D' B D' M' D B' D R'  (10sq) 
L M B' R B' M' B R' B L'  (10sq) 
R D' L M B' M' B R' B L'  (10sq) 
x2 R U' R U' M' U L' M' B L'  (10sq) 
L' M B' R B' M' B R' B L  (10sq) 
B L U M' U' U' M U L' B'  (10sq) 
B' B' M B R B' M' B R' B  (10sq) 
M B' L M U' M' U L' M' B  (10sq) 
R B M B M' B M B R' M'  (10sq) 
M' M' B U B M' B' U' B' M'  (10sq) 
M' M' B' U B' M' B U' B M'  (10sq) 
U F U' F M F' U F' U' M'  (10sq) 
U F' U' F' M F U F U' M'  (10sq) 
U' B U' B M B' U B' U M'  (10sq) 
U' B' U' B' M B U B U M'  (10sq) 
M U M U M' U M U M' M'  (10sq) 
M' F' R' F' M' F R F M' M'  (10sq) 
R D' R D' M' D R' D R' M  (10sq) 
R' D' R' D' M' D R D R M  (10sq) 
D' R' R' D' M' D R' R' D M  (10sq) 
x' F M' D L' M' F M F' R F' U'  (11sq) 
x B M' U R' U M U' L M F' U'  (11sq) 
x B R' F R' F M F' R F' L U'  (11sq) 
x L R D M D M' D M D R' R'  (11sq) 
x' R' B' R' B' M' B R B L' R' R'  (11sq) 
x' L' R' B' R' B' M' B R B R' R'  (11sq) 
x' L' R' R' D B D M' D' B' D' R'  (11sq) 
x L M' M' D B D M' D' B' D' R'  (11sq) 
x' L' R' R' D' B D' M' D B' D R'  (11sq) 
x L M' M' D' B D' M' D B' D R'  (11sq) 
x' R' R' D B D M' D' B' D' L' R'  (11sq) 
x' R' R' D' B D' M' D B' D L' R'  (11sq) 
x L B U B' U M U' B U' B' R'  (11sq) 
x L B U' B' U' M U B U B' R'  (11sq) 
x L B' D B' D M D' B D' B R'  (11sq) 
x L B' D' B' D' M D B D B R'  (11sq) 
x' L' B' R' R' B' M' B R' R' B R  (11sq) 
x' L R B' R B' M' B R' B L' L'  (11sq) 
x L M D' L M B' M' B R' B L'  (11sq) 
x' L M U' R U' M' U L' M' B L'  (11sq) 
x' R B' L M U' M' U L' M' B L'  (11sq) 
x R' M' M' B' R B' M' B R' B L  (11sq) 
x L' M D' L M B' M' B R' B L  (11sq) 
x' L' M U' R U' M' U L' M' B L  (11sq) 
x' U R M' U M' U' U' M U L' B'  (11sq) 
x D L B M' B' R' B' M B M B'  (11sq) 
x D L B M' B' B' M B R' M B'  (11sq) 
x' M U' L' R' R' M' B' M' B R' B  (11sq) 
x D' D' M D L M B' M' B R' B  (11sq) 
x' U' U' M U R U' M' U L' M' B  (11sq) 
x' U' L' U' M U R U' M' U M' B  (11sq) 
x L M B M B M' B M B R' M'  (11sq) 
x L M' U' R' U' M' U R U R' M'  (11sq) 
x' L' M U' R U' M' U R' U R M'  (11sq) 
x' R M B U B M' B' U' B' L' M'  (11sq) 
x' R M B' U B' M' B U' B L' M'  (11sq) 
x R' M' B U B M' B' U' B' L M'  (11sq) 
x R' M' B' U B' M' B U' B L M'  (11sq) 
x' R U M U M' U M U L' M' M'  (11sq) 
x R' F' R' F' M' F R F L M' M'  (11sq) 
x' M' D' L' M' F' M' F R F M' M'  (11sq) 
x M' U' R' U' M' U L M F M' M'  (11sq) 
x L M D' R D' M' D R' D R' M  (11sq) 
x R F' L M D' M' D R' D R' M  (11sq) 
x' R B' R B' M' B L' M' D R' M  (11sq) 
x' L' M F M F M' F M F R M  (11sq) 
x' L' M' D' R' D' M' D R D R M  (11sq) 
x' R' B' L' M' D' M' D R D R M  (11sq) 
x R' F' R' F' M' F L M D R M  (11sq) 
x' B' L' R' M' D' M' D R' R' D M  (11sq) 
x F' L R M D' M' D R' R' D M  (11sq) 
x' B' R' R' B' M' B L' R' M' D M  (11sq) 
x F' R' R' F' M' F L R M D M  (11sq) 
M' U' U' F' L F M F' L' F U' U'  (12sq) 
U' U' M' F' L F M F' L' F U' U'  (12sq) 
M U' U' F' L F' M' F L' F U' U'  (12sq) 
U' U' M F' L F' M' F L' F U' U'  (12sq) 
U F' F' U M U' F' F' U M' U' U'  (12sq) 
U F' F' U' M U F' F' U M' U' U'  (12sq) 
M' U' M' U' M U' M' U M' M' U' U'  (12sq) 
B U B' M' B U' B' U' U' M U' U'  (12sq) 
B' U B M' B' U' B U' U' M U' U'  (12sq) 
U F U' F' M' F U F' U M U' U'  (12sq) 
U F' U' F M' F' U F U M U' U'  (12sq) 
U R B M' U' U' M U' U' B' R' U'  (12sq) 
M' M' U R B' M' B' B' M' B' R' U'  (12sq) 
U R B' D' D' M D' D' M' B R' U'  (12sq) 
M' U F R F' U M U' F R' F' U'  (12sq) 
U M' F L' M' U M U' L M F' U'  (12sq) 
U L M' F R' F M F' R F' L' U'  (12sq) 
U L' M' F R' F M F' R F' L U'  (12sq) 
U R' D L' M' F M F' R F' L U'  (12sq) 
x2 D R' U R' U M U' L M F' L U'  (12sq) 
M U B' U' R B' M' B R' U B U'  (12sq) 
U R D R D M D' R' D' R' M' U'  (12sq) 
U R' D R' D M D' R D' R M' U'  (12sq) 
D U R' R' D M D' R' R' D' M' U'  (12sq) 
U M U M' F' F' M F' F' U' M' U'  (12sq) 
U' M' U' M B' B' M B' B' U' M' U'  (12sq) 
M' M' U M U' M' U' U' M' U' M' U'  (12sq) 
M' M' U' M' U M' U' U' M U' M' U'  (12sq) 
M U' M U M U' M U' M U' M' U'  (12sq) 
U' M' D' D' U' M D' D' M U' M' U'  (12sq) 
U' M' U B' B' M' B' B' M' U M' U'  (12sq) 
U M U' B' B' M B' B' M' U M' U'  (12sq) 
U M B R B M B' R' B' M' M' U'  (12sq) 
U' M' M' F L F' M' M' F L' F' U  (12sq) 
M' U' F' U' L F M F' L' U F U  (12sq) 
M U' F' U' L F' M' F L' U F U  (12sq) 
U' F' L F M F' F' M' F L' F U  (12sq) 
U' B U M' U' L U' M U L' B' U  (12sq) 
U' B U' M' U L U' M U L' B' U  (12sq) 
M' U' B L B' U' M U B L' B' U  (12sq) 
U M' U' U' B L' B M B' L B' U  (12sq) 
U' B' B' M B' L' B' M' B L B' U  (12sq) 
U' B' L' B' M B' B' M' B' L B U  (12sq) 
U' L' B' M B M' B M B' L M' U  (12sq) 
M' U M U M' U M' U M' U' M' U  (12sq) 
U' B L' B' M' M' B L B' M' M' U  (12sq) 
U' M U' M U M' U M U' M' M' U  (12sq) 
U' M B U' B' M' M' B U B' M U  (12sq) 
U' M B' U' B M' M' B' U B M U  (12sq) 
R U' R' U M' U' R U' M U' U' R'  (12sq) 
R' R' M' D M D M' D M D R' R'  (12sq) 
x2 L' L' M D M D M' D M D R' R'  (12sq) 
x2 L' M D M D M' D M D L' R' R'  (12sq) 
x2 M D M D M' D M D L' L' R' R'  (12sq) 
x2 M' B' R' B' M' B R B L' L' R' R'  (12sq) 
x2 L' M' B' R' B' M' B R B L' R' R'  (12sq) 
x2 R' U' L' M' B' M' B R B L' R' R'  (12sq) 
R' D' R' D' M' D L M B L' R' R'  (12sq) 
x2 L' L' M' B' R' B' M' B R B R' R'  (12sq) 
R' R' M B' R' B' M' B R B R' R'  (12sq) 
x2 L' R' U' L' M' B' M' B R B R' R'  (12sq) 
L' R' D' R' D' M' D L M B R' R'  (12sq) 
R F M F M' B M F' M' B' F' R'  (12sq) 
R D R D M' D' R' D M D' D' R'  (12sq) 
R D' D' M D' B D M' D' B' D' R'  (12sq) 
x2 L' L' R' M' D B D M' D' B' D' R'  (12sq) 
x2 L' L' R' M' D' B D' M' D B' D R'  (12sq) 
R D' D' M D B D' M' D B' D R'  (12sq) 
x2 L' R' M' D B D M' D' B' D' L' R'  (12sq) 
L R M D B D M' D' B' D' L' R'  (12sq) 
x2 L' R' M' D' B D' M' D B' D L' R'  (12sq) 
L R M D' B D' M' D B' D L' R'  (12sq) 
x2 R' M' D B D M' D' B' D' L' L' R'  (12sq) 
x2 R' M' D' B D' M' D B' D L' L' R'  (12sq) 
R M' B U B' U M U' B U' B' R'  (12sq) 
R M' B U' B' U' M U B U B' R'  (12sq) 
R B' B' U M U' B U M' U' B R'  (12sq) 
R B' B' U' M U B U' M' U B R'  (12sq) 
R B' M' D R D' M D R' D' B R'  (12sq) 
R M' B' D B' D M D' B D' B R'  (12sq) 
R M B' D B' D' M' D B D' B R'  (12sq) 
R M B' D' B' D M' D' B D B R'  (12sq) 
R M' B' D' B' D' M D B D B R'  (12sq) 
U' B U' R B L' D' B D' L B R'  (12sq) 
U B U M U' B' U' R B' M' B R'  (12sq) 
U' B U' M U B' U R B' M' B R'  (12sq) 
R U B U M U' B' U' B' M' B R'  (12sq) 
R U' B U' M U B' U B' M' B R'  (12sq) 
R B' U B' U' M U B U' M' B R'  (12sq) 
R B' U' B' U M U' B U M' B R'  (12sq) 
R' U' R U M' U' R' U' M U' U' R  (12sq) 
R' M' F' U' U' F' M F U' U' F R  (12sq) 
R' F' M U R U M' U' R' U' F R  (12sq) 
R' D R' D M' D' R D M D' D' R  (12sq) 
R' D' L' F M F' F' M' F L D R  (12sq) 
R' M B' R' R' B' M' B R' R' B R  (12sq) 
x2 L' U' L' R' M' B' M' B R' R' B R  (12sq) 
L' D' L R M B' M' B R' R' B R  (12sq) 
x2 L' U' R' R' U' M' U L' R' M' B R  (12sq) 
