x' F L' F U M' U' F' L F'  (9sq*) 
U R' M F U M' U' F' L F'  (10sq) 
x2 D L' D F M' F' D' R M' F'  (10sq) 
x' U' M U M U' M' M' U' M' U' U'  (11sq) 
x' M U' M' U M' U' M U' M' U' U'  (11sq) 
x' U M U' M' M' U M' U M U' U'  (11sq) 
x' M U' F' L F M' M' F' L' F U  (11sq) 
x' U' L' U R B' M' B R' U' L U  (11sq) 
x' B L' B M B' L B' U' M' M' U  (11sq) 
x' R U' L' U B' M' B U' L U R'  (11sq) 
x' R U' B' L U M' U' L' B U R'  (11sq) 
x' R D L D' B' M' B D L' D' R'  (11sq) 
x' R B' U R' U' M' U R U' B R'  (11sq) 
x' R B' U' L U M' U' L' U B R'  (11sq) 
x' F R' M D F M' F' D' R M' F'  (11sq) 
x' M F' U' L F M' M' F' L' U F  (11sq) 
x' M' F' L' F' U M U' M' F L F  (11sq) 
x' D L D' R B' M' B R' D L' D'  (11sq) 
x' L F L' F U M' U' F' L F' L'  (11sq) 
x' L' F L' F U M' U' F' L F' L  (11sq) 
x' M B L B' U' M' M' U B L' B'  (11sq) 
x' U' M U B L' B' M' M' B L B'  (11sq) 
x' M B' L B' U' M' M' U B L' B  (11sq) 
x' M F' L' F U' M' U F' L F M'  (11sq) 
x' M F' U' L F M' F' L' U F M'  (11sq) 
x' M B L B' U' M' U B L' B' M'  (11sq) 
x' U' F' F' U M U' M' F' F' U M'  (11sq) 
x' U' F' F' U' M U M' F' F' U M'  (11sq) 
x' M U' F R' F' M' F R F' U M'  (11sq) 
x' M U' F' L F M' F' L' F U M'  (11sq) 
x' U' M U' U' M U' M' U' M' U M'  (11sq) 
x' U' M U' U' M U M' U M' U M'  (11sq) 
x' B L B' U' M U B L' B' M' M'  (11sq) 
x' U' F' L F M F' L' F U M' M'  (11sq) 
x' F U' L F M F' L' U F' M' M'  (11sq) 
x' F' U' L F M F' L' U F M' M'  (11sq) 
B R' B U' M B M' B' U B' L U'  (12sq) 
M B' L U M' U' M U' M' U R' U  (12sq) 
L R F L F' D' R' R' F' L' F U  (12sq) 
x2 M F' D' R M' F M' M' F' L' F U  (12sq) 
M B' U' L U M' M' U' R' M F U  (12sq) 
B' R' M U R B' M' B R' U' L U  (12sq) 
B' L' B L M B' M' B R' U' L U  (12sq) 
x2 F' L' F R U' M' U L' M' U' L U  (12sq) 
x2 F' L' F R U' M' U R' F' R M' U  (12sq) 
D R' M B M B' L B' U' M' M' U  (12sq) 
x2 U L' U M U' R M' B' U' M' M' U  (12sq) 
L M U' L' U B' M' B U' L U R'  (12sq) 
R B' R' M U B' M' B U' L U R'  (12sq) 
L M U' B' L U M' U' L' B U R'  (12sq) 
x2 R F' U' R M' U M' U' L' B U R'  (12sq) 
R B' D' L B M' B' R' M B U R'  (12sq) 
x2 R F' L' F U' M' U F' R M' U R'  (12sq) 
B' U' L U L R D F L' F' R' R'  (12sq) 
D L D' B' L R B' L' B D R' R'  (12sq) 
L M D L D' B' M' B D L' D' R'  (12sq) 
x2 R B R M' D' B' M' B D L' D' R'  (12sq) 
R F L F' D' M' D F R' M D' R'  (12sq) 
L B' U' U' B M B' M' U' U' B R'  (12sq) 
L B' U' U' B' M B M' U' U' B R'  (12sq) 
L M B' U R' U' M' U R U' B R'  (12sq) 
x2 R U' F L' M' U' M' U R U' B R'  (12sq) 
R D' B R' B' M' B L M U' B R'  (12sq) 
L M B' U' L U M' U' L' U B R'  (12sq) 
x2 R U' F' R M' U M' U' L' U B R'  (12sq) 
R D' B' L B M' B' R' M U B R'  (12sq) 
M' D' M D' D' M D' L B' M' B R'  (12sq) 
L B' M B' B' M B' M' B' M' B R'  (12sq) 
L B' M B' B' M B M' B M' B R'  (12sq) 
U L' U B M' B' U' L' L' R' M F'  (12sq) 
x2 M D' F' R M' F M' M' F' L' U F  (12sq) 
M U' B' L U M' M' U' R' M U F  (12sq) 
M' U' R' M F' U M U' M' F L F  (12sq) 
x2 M' D' L' D' F M F' M' D R M' F  (12sq) 
U L' U B R' U' L F' L D F' D'  (12sq) 
x2 B R M' D' R B' M' B R' D L' D'  (12sq) 
F L F' L M B' M' B R' D L' D'  (12sq) 
x2 B L B' R U' M' U L' M' D L' D'  (12sq) 
F L F' R D' M' D R' F R' M D'  (12sq) 
x2 R U' M' U M' U' M U' M' U' U' L'  (12sq) 
x2 R U' F' L F M' M' F' L' F U L'  (12sq) 
x2 R M' F L' F U M' U' F' L F' L'  (12sq) 
L U R' M F U M' U' F' L F' L'  (12sq) 
x2 L D L' D F M' F' D' R M' F' L'  (12sq) 
x2 R F' U' L F M' M' F' L' U F L'  (12sq) 
x2 R B L B' U' M' M' U B L' B' L'  (12sq) 
x2 R B' L B' U' M' M' U B L' B L'  (12sq) 
R F L F' D' R' R' F' L' F U L  (12sq) 
R' M F L' F U M' U' F' L F' L  (12sq) 
L' U R' M F U M' U' F' L F' L  (12sq) 
x2 L' D L' D F M' F' D' R M' F' L  (12sq) 
R' F' L' F' U M U' M' F L F L  (12sq) 
