F U M2 U2 M U F' U M U'  (10s*) 
U2 F U' M2 U2 M U' F' U' M U'  (11s) 
F D2 U M D2 M2 U' F' U M U'  (11s) 
M2 F U' M' U2 M2 U' F' U M U'  (11s) 
F U' M B2 M2 B2 U F' U M U'  (11s) 
F U' M F2 M2 F2 U F' U M U'  (11s) 
F D2 U' M2 D2 M U F' U M U'  (11s) 
F U M2 F2 M F2 U' F' U' M U  (11s) 
F U B2 M B2 M2 U' F' U' M U  (11s) 
F U' M2 F2 M F2 U F' U' M U  (11s) 
F U' B2 M B2 M2 U F' U' M U  (11s) 
x2 B L' F2 M F2 D' M D L' R2 F'  (11s) 
x2 M2 B' M' B2 L' D' M D L' R2 F'  (11s) 
x2 F2 B M F2 L' D' M D L' R2 F'  (11s) 
F L' B2 M B2 U' M U L M2 F'  (11s) 
M2 F' M' F2 L' U' M U L M2 F'  (11s) 
B2 F M B2 L' U' M U L M2 F'  (11s) 
x' D L' U2 M U2 F' M F R M F'  (11s) 
x' M2 D' M' D2 L' F' M F R M F'  (11s) 
x' U2 D M U2 L' F' M F R M F'  (11s) 
x2 B' D2 L' R2 F' M' F L' U2 M' F  (11s) 
F' U2 L M2 F' M' F L' U2 M' F  (11s) 
x' D' F2 R M F' M' F L' U2 M' F  (11s) 
U M F D2 F' M2 F2 M F' D2 F' U'  (12s) 
U M B R2 B M B2 M2 B R2 B' U'  (12s) 
U2 F U M B2 M2 B2 U' F' U' M U'  (12s) 
U2 F U M F2 M2 F2 U' F' U' M U'  (12s) 
U2 F D2 U M2 D2 M U' F' U' M U'  (12s) 
U2 F D2 U' M D2 M2 U F' U' M U'  (12s) 
M2 U2 F U M' U2 M2 U F' U' M U'  (12s) 
U2 M2 F U M' U2 M2 U F' U' M U'  (12s) 
F U' M U2 B2 M2 B2 U' F' U M U'  (12s) 
x2 B D L2 U2 M U2 R2 U' F' U M U'  (12s) 
F U' M U2 F2 M2 F2 U' F' U M U'  (12s) 
x2 B D R2 U2 M U2 L2 U' F' U M U'  (12s) 
M2 F U M2 D2 M' D2 U' F' U M U'  (12s) 
F U M' F2 M F2 M' U' F' U M U'  (12s) 
F2 M2 F' U' M' U2 M2 U' F' U M U'  (12s) 
F U M B2 M B2 M U' F' U M U'  (12s) 
x' D F' L' B2 M2 B2 R U F' U M U'  (12s) 
x' D F' L' F2 M2 F2 R U F' U M U'  (12s) 
x' D F' R B2 M2 B2 L' U F' U M U'  (12s) 
x' D F' R F2 M2 F2 L' U F' U M U'  (12s) 
