x2 U' M U R U' M2 U2 M' U' R'  (10s*) 
x2 U' M U R U M' F2 M2 F2 U' R'  (11s) 
x2 U' M U R U M' B2 M2 B2 U' R'  (11s) 
x2 U' M U R D2 U M2 D2 M' U' R'  (11s) 
x' B' M B L M U' M2 U2 M' U' R'  (11s) 
x2 U' M U R D2 U' M' D2 M2 U R'  (11s) 
x2 M2 U' M U R U M U2 M2 U R'  (11s) 
B' M2 B2 M' B' R' B' M' B L2 R'  (11s) 
L2 B' M2 B2 M' B' R' B' M' B R'  (11s) 
x2 R2 B M B2 M2 B R' B' M' B R'  (11s) 
x L' F' M F R F' M2 F2 M' F' M'  (11s) 
x F' M F R F' M2 F2 M' F' L' M'  (11s) 
x' U' M2 U2 M' U' R' U' M' U L M'  (11s) 
x' L U' M2 U2 M' U' R' U' M' U M'  (11s) 
x2 F' M2 F2 M' F' R' F' M' F R M2  (11s) 
x' U B M B' U' B L U' M2 U R' U'  (12s) 
x2 R2 B' R2 U' M' U' L2 F' L2 U' M' U'  (12s) 
x2 F M' D2 M U' D2 M' U F' U M' U'  (12s) 
x2 F B2 M B2 M' U' M' U F' U M' U'  (12s) 
x2 M2 F' M' F2 M' U' M' U F' U M' U'  (12s) 
x2 M2 F M' U2 M' U M' U F' U M' U'  (12s) 
x' B2 L U F2 U M U' F2 M2 U' R' U2  (12s) 
x' B2 L U F2 U' M U F2 M2 U' R' U2  (12s) 
R2 D F' R' U' R2 U F R D' L2 U2  (12s) 
x' L U' M2 U2 M' U' R' U' M' U' M' U2  (12s) 
x2 U' B R2 B' M2 B2 M' B' R2 B' M U  (12s) 
x2 U' F D2 F M' F2 M2 F D2 F' M U  (12s) 
x' B' M B R B L F2 M2 F2 R' U' R'  (12s) 
x' B' M B R B L B2 M2 B2 R' U' R'  (12s) 
x' B' M B L M U M' F2 M2 F2 U' R'  (12s) 
x2 M2 U' M U R U M D2 M2 D2 U' R'  (12s) 
x2 U' M U R D2 U' M' U2 M2 D2 U' R'  (12s) 
x' B' M B R B R' F2 M2 F2 L U' R'  (12s) 
x' B' M B R B R' B2 M2 B2 L U' R'  (12s) 
x' B' M B L M U M' B2 M2 B2 U' R'  (12s) 
x' B' M B L M D2 U M2 D2 M' U' R'  (12s) 
x F' M F L' R2 M' U' M2 U2 M' U' R'  (12s) 
D' M D L2 R' M2 U' M2 U2 M' U' R'  (12s) 
x2 U' M U R U M B2 M2 B2 M2 U' R'  (12s) 
x2 U B2 M B2 U' R U' M' U2 M2 U' R'  (12s) 
x2 U' F2 M F2 U R U' M' U2 M2 U' R'  (12s) 
x2 U' M U R U M F2 M2 F2 M2 U' R'  (12s) 
x2 M2 U' M U R U B2 M2 B2 M U' R'  (12s) 
x2 U' M U R U M2 U2 M2 U2 M U' R'  (12s) 
x2 M2 U' M U R U F2 M2 F2 M U' R'  (12s) 
x2 U' M U R U M2 D2 M2 D2 M U' R'  (12s) 
D' M D R D' L2 U2 M' U2 R2 U R'  (12s) 
x2 U' M U R U M' U2 F2 M2 F2 U R'  (12s) 
x2 M2 U' M U R U' M2 D2 M D2 U R'  (12s) 
D' M D R D' R2 U2 M' U2 L2 U R'  (12s) 
x2 U' M U R U M' U2 B2 M2 B2 U R'  (12s) 
x2 U' M U R U' M' F2 M' F2 M' U R'  (12s) 
x' B' M B L M D2 U' M' D2 M2 U R'  (12s) 
x2 U D2 M' U' D2 R U M U2 M2 U R'  (12s) 
x2 U2 M2 U M U R U M U2 M2 U R'  (12s) 
x' M2 B' M B L M U M U2 M2 U R'  (12s) 
x2 U' M U R U' M B2 M' B2 M U R'  (12s) 
x2 U F2 M' F2 U' R U M2 U2 M U R'  (12s) 
x2 U' B2 M' B2 U R U M2 U2 M U R'  (12s) 
x2 L U' M U R U' M2 U2 M' U' L' R'  (12s) 
L' B' M2 B2 M' B' R' B' M' B L' R'  (12s) 
x2 L2 U' M U R U' M2 U2 M' U' L2 R'  (12s) 
R2 U' M U R U M U2 M2 U L2 R'  (12s) 
B M' D2 M2 D2 B' R' B' M' B L2 R'  (12s) 
B M' U2 M2 U2 B' R' B' M' B L2 R'  (12s) 
B F2 M2 F2 M' B' R' B' M' B L2 R'  (12s) 
M2 B M B2 M2 B R' B' M' B L2 R'  (12s) 
B' F2 M' F2 M2 B R' B' M' B L2 R'  (12s) 
x' U' M2 U2 M' U' L' M' B' M' B L2 R'  (12s) 
x2 R2 B M F2 M2 B' F2 R' B' M' B R'  (12s) 
x2 R2 B' M2 F2 M B F2 R' B' M' B R'  (12s) 
L2 B M' D2 M2 D2 B' R' B' M' B R'  (12s) 
L2 B M' U2 M2 U2 B' R' B' M' B R'  (12s) 
x2 R2 M2 B' M2 B2 M' B' R' B' M' B R'  (12s) 
L2 B F2 M2 F2 M' B' R' B' M' B R'  (12s) 
x2 R2 B U2 M2 U2 M B' R' B' M' B R'  (12s) 
x2 R2 B D2 M2 D2 M B' R' B' M' B R'  (12s) 
L2 M2 B M B2 M2 B R' B' M' B R'  (12s) 
L2 B' F2 M' F2 M2 B R' B' M' B R'  (12s) 
x' L2 U' M2 U2 M' U' L' M' B' M' B R'  (12s) 
x R2 U M U2 M2 U L' M' B' M' B R'  (12s) 
x2 F M2 F2 M F R' F M F M2 F2 R  (12s) 
x L' F M' F' R F' M' F2 M2 F M F2  (12s) 
x2 M' F M F2 M2 U M' F' M F U' F  (12s) 
x2 U L F2 L' F' U M2 U2 R' F2 R F  (12s) 
x2 F M2 U' F M' F' U F' M' F' M2 F  (12s) 
x2 R' B' D2 B D R B2 M2 B' R2 B' D'  (12s) 
x2 U' M D2 U R U' M' U2 M2 U' R' D2  (12s) 
x2 U D2 M' U' R U M2 U2 M U R' D2  (12s) 
x2 D2 F' M' F2 M2 F' R' F M F' R D2  (12s) 
x F M' F' R F' M' F2 M2 F M F2 L'  (12s) 
x' U' M2 U2 M' U' R' U' M' U' M' U2 L  (12s) 
x2 F M B2 M' U' M' U F' U M' U' B2  (12s) 
x2 B2 U' M U R U' M2 U2 M' U' R' B2  (12s) 
B M2 F2 M' B' R' B' M' B L2 R' B2  (12s) 
B' M' F2 M2 B R' B' M' B L2 R' B2  (12s) 
x' U M2 D2 M' U' R' U' M' U L M' B2  (12s) 
x' U' M' D2 M2 U R' U' M' U L M' B2  (12s) 
x2 F M2 B2 M' F' R' F' M' F R M2 B2  (12s) 
x2 F' M' B2 M2 F R' F' M' F R M2 B2  (12s) 
x L' F' M F R F M' D2 M2 D2 F' M'  (12s) 
x L' F' M F R F M' U2 M2 U2 F' M'  (12s) 
x L' F' M F R B2 F M2 B2 M' F' M'  (12s) 
x2 R' M F' M F R F' M2 F2 M' F' M'  (12s) 
x2 L' U' M U L M F' M2 F2 M' F' M'  (12s) 
x L' F' M F R B2 F' M' B2 M2 F M'  (12s) 
x' L R2 F' M F R F M F2 M2 F M'  (12s) 
x2 R' M' F' M F R F M F2 M2 F M'  (12s) 
x L' M2 F' M F R F M F2 M2 F M'  (12s) 
x F' M F R F M' D2 M2 D2 F' L' M'  (12s) 
x F' M F R F M' U2 M2 U2 F' L' M'  (12s) 
x F' M F R B2 F M2 B2 M' F' L' M'  (12s) 
x2 U' M U L M F' M2 F2 M' F' L' M'  (12s) 
x F' M F R B2 F' M' B2 M2 F L' M'  (12s) 
x M2 F' M F R F M F2 M2 F L' M'  (12s) 
x' L2 U' M2 U2 M' U' R' U' M' U L' M'  (12s) 
x R2 U M U2 M2 U R' U' M' U L' M'  (12s) 
x L F' M F R F' M2 F2 M' F' L2 M'  (12s) 
x' L' U' M2 U2 M' U' R' U' M' U L2 M'  (12s) 
x L2 F' M F R F' M2 F2 M' F' L M'  (12s) 
x' R2 F' M F R F M F2 M2 F L M'  (12s) 
x' U M' B2 M2 B2 U' R' U' M' U L M'  (12s) 
x' U M' F2 M2 F2 U' R' U' M' U L M'  (12s) 
x' U D2 M2 D2 M' U' R' U' M' U L M'  (12s) 
x' M2 U M U2 M2 U R' U' M' U L M'  (12s) 
x' U' D2 M' D2 M2 U R' U' M' U L M'  (12s) 
x2 F' M2 F2 M' F' L' M' U' M' U L M'  (12s) 
x' L U M' B2 M2 B2 U' R' U' M' U M'  (12s) 
x' L U M' F2 M2 F2 U' R' U' M' U M'  (12s) 
x2 R M' U' M2 U2 M' U' R' U' M' U M'  (12s) 
x' L U D2 M2 D2 M' U' R' U' M' U M'  (12s) 
x L' R2 U M U2 M2 U R' U' M' U M'  (12s) 
