U' M U R U M U2 M2 U R'  (10s*) 
F' M' F2 M' U' M' U F' U M' U'  (11s) 
F M' U2 M' U M' U F' U M' U'  (11s) 
U' M U R U M D2 M2 D2 U' R'  (11s) 
M2 U' M U R U' M2 U2 M' U' R'  (11s) 
U' M U R U B2 M2 B2 M U' R'  (11s) 
U' M U R U F2 M2 F2 M U' R'  (11s) 
U' M U R U' M2 D2 M D2 U R'  (11s) 
x B' M B L M U M U2 M2 U R'  (11s) 
x2 B M B2 M2 B R' B' M' B L2 R'  (11s) 
R2 B' M2 B2 M' B' R' B' M' B R'  (11s) 
x2 L2 B M B2 M2 B R' B' M' B R'  (11s) 
x' L' F' M F R F M F2 M2 F M'  (11s) 
x' F' M F R F M F2 M2 F L' M'  (11s) 
x U M U2 M2 U R' U' M' U L M'  (11s) 
x L U M U2 M2 U R' U' M' U M'  (11s) 
F M F2 M2 F R' F' M' F R M2  (11s) 
x B L U' M2 U B2 U M' U' B2 R' U'  (12s) 
U2 F M' U2 M' U' M' U' F' U' M' U'  (12s) 
U2 F' M' F2 M' U M' U' F' U' M' U'  (12s) 
x2 L2 B' R2 U' M' U' L2 F' L2 U' M' U'  (12s) 
F M' D2 M U M U' D2 F' U M' U'  (12s) 
B2 F U M U' M B2 M' F' U M' U'  (12s) 
F' M2 U' M' U M F2 M' F' U M' U'  (12s) 
F' M2 U' M' U' M' U2 M F U M' U'  (12s) 
x B2 L U M2 F2 U M' U' F2 U' R' U2  (12s) 
x B2 L U M2 F2 U' M' U F2 U' R' U2  (12s) 
L2 D F' R' U' R2 U F R D' L2 U2  (12s) 
x L U M U2 M2 U R' U' M' U' M' U2  (12s) 
U' B R2 B M B2 M2 B R2 B' M U  (12s) 
U' F D2 F' M2 F2 M F' D2 F' M U  (12s) 
x' F' M F R F L' U2 M2 U2 R U' R'  (12s) 
x' F' M F R F L' D2 M2 D2 R U' R'  (12s) 
M2 U' M U R U M' F2 M2 F2 U' R'  (12s) 
x B' M B L M U M D2 M2 D2 U' R'  (12s) 
x' F' M F R F R U2 M2 U2 L' U' R'  (12s) 
x' F' M F R F R D2 M2 D2 L' U' R'  (12s) 
M2 U' M U R U M' B2 M2 B2 U' R'  (12s) 
U' M U R U M2 F2 M2 F2 M' U' R'  (12s) 
M2 U' M U R D2 U M2 D2 M' U' R'  (12s) 
U' M U R U M2 B2 M2 B2 M' U' R'  (12s) 
D2 U M' D2 U' R U' M2 U2 M' U' R'  (12s) 
U2 M2 U M U R U' M2 U2 M' U' R'  (12s) 
x M2 B' M B L M U' M2 U2 M' U' R'  (12s) 
U' M U R U M' D2 M2 D2 M2 U' R'  (12s) 
U F2 M' F2 U' R U' M' U2 M2 U' R'  (12s) 
U' B2 M' B2 U R U' M' U2 M2 U' R'  (12s) 
U' M U R U M' U2 M2 U2 M2 U' R'  (12s) 
x B' M B L M U B2 M2 B2 M U' R'  (12s) 
U' M U R U' B2 M2 B2 U2 M U' R'  (12s) 
U' M U R U' F2 M2 F2 U2 M U' R'  (12s) 
x B' M B L M U F2 M2 F2 M U' R'  (12s) 
x2 D' M D R D' L2 D2 M D2 R2 U R'  (12s) 
U' M U R U D2 M2 U2 M D2 U R'  (12s) 
x B' M B L M U' M2 D2 M D2 U R'  (12s) 
x2 D' M D R D' R2 D2 M D2 L2 U R'  (12s) 
U' M U R U' M' B2 M B2 M' U R'  (12s) 
M2 U' M U R D2 U' M' D2 M2 U R'  (12s) 
x' F' M F L' R2 M' U M U2 M2 U R'  (12s) 
x2 D' M D L2 R' M2 U M U2 M2 U R'  (12s) 
U B2 M B2 U' R U M2 U2 M U R'  (12s) 
U' F2 M F2 U R U M2 U2 M U R'  (12s) 
U' M U R U' M F2 M F2 M U R'  (12s) 
L U' M U R U M U2 M2 U L' R'  (12s) 
x2 L' B M B2 M2 B R' B' M' B L' R'  (12s) 
x2 R2 U' M U R U' M2 U2 M' U' L2 R'  (12s) 
L2 U' M U R U M U2 M2 U L2 R'  (12s) 
x2 B M F2 M2 B' F2 R' B' M' B L2 R'  (12s) 
x2 B' M2 F2 M B F2 R' B' M' B L2 R'  (12s) 
x2 M2 B' M2 B2 M' B' R' B' M' B L2 R'  (12s) 
x2 B U2 M2 U2 M B' R' B' M' B L2 R'  (12s) 
x2 B D2 M2 D2 M B' R' B' M' B L2 R'  (12s) 
x U M U2 M2 U L' M' B' M' B L2 R'  (12s) 
x2 L2 B M F2 M2 B' F2 R' B' M' B R'  (12s) 
x2 L2 B' M2 F2 M B F2 R' B' M' B R'  (12s) 
R2 B M' D2 M2 D2 B' R' B' M' B R'  (12s) 
R2 B M' U2 M2 U2 B' R' B' M' B R'  (12s) 
x2 L2 M2 B' M2 B2 M' B' R' B' M' B R'  (12s) 
R2 B F2 M2 F2 M' B' R' B' M' B R'  (12s) 
x2 L2 B U2 M2 U2 M B' R' B' M' B R'  (12s) 
x2 L2 B D2 M2 D2 M B' R' B' M' B R'  (12s) 
R2 M2 B M B2 M2 B R' B' M' B R'  (12s) 
R2 B' F2 M' F2 M2 B R' B' M' B R'  (12s) 
x' R2 U' M2 U2 M' U' L' M' B' M' B R'  (12s) 
x L2 U M U2 M2 U L' M' B' M' B R'  (12s) 
F' M' F2 M2 F' R' F M F M2 F2 R  (12s) 
F' M' U' F' M' F U F M' F M' F'  (12s) 
U' M' U M' F' M' F2 U' M U M2 F'  (12s) 
x' L' F M' F' R F M2 F2 M F' M F2  (12s) 
M F M F2 M2 U M' F' M F U' F  (12s) 
