F' M' F M' U' F M' F' U M'  (10s*) 
x L U' M' U M' B' U M' U' B R'  (11s) 
U2 F' M' F M' U F M' F' U M'  (11s) 
F M' U M U M' U' M' U' F' M2  (11s) 
x' D' L' D2 M2 F' M' F D2 R F M2  (11s) 
x2 B L R2 U' M' U L F2 M F M2  (11s) 
x U R' M' U' M' U L F2 M F M2  (11s) 
F L' M2 U' M' U L F2 M F M2  (11s) 
M' F M F2 M2 U' M' U F U M' U'  (12s) 
U2 R U M2 U' R' F M F2 M F U2  (12s) 
x L2 U' M' U M' B' U M' U' B L' R'  (12s) 
x L' U' M' U M' B' U M' U' B L2 R'  (12s) 
R M' U' M' U M' B' U M' U' B R'  (12s) 
x L B2 U' M' U M' B U M' U' B R'  (12s) 
x2 L2 B M' D M D M' D' M' D' B' R2  (12s) 
x L2 U' L' U2 M2 B' M' B U2 R B R2  (12s) 
x' R2 U' L' D2 B M B' M2 D2 R B R2  (12s) 
L2 F L R2 D' M' D L B2 M B R2  (12s) 
x' L2 D R' M' D' M' D L B2 M B R2  (12s) 
x2 L2 B L' M2 D' M' D L B2 M B R2  (12s) 
F' U2 M' U' M' F' M F U' F2 M F'  (12s) 
M' U' F M F' U M F' M F' M2 F2  (12s) 
x2 B' L' D M D' L' R2 F2 M' F M2 F2  (12s) 
F' L' U M U' L M2 F2 M' F M2 F2  (12s) 
x' D' L' F M F' R M F2 M' F M2 F2  (12s) 
F U M U M U' M' U' M F M2 F2  (12s) 
x2 D B2 D' L' D' M2 B' D2 B L' R2 F  (12s) 
U F2 U' L' U' M2 F' U2 F L M2 F  (12s) 
x' F D2 F' L' F' M2 D' F2 D R M F  (12s) 
B2 F' M' F M' U' F M' F' U M' B2  (12s) 
F' M' F M' F2 U' F' M' F U F2 M'  (12s) 
L F' M' F M' U' F M' F' U L' M'  (12s) 
L2 F' M' F M' U' F M' F' U L2 M'  (12s) 
L' F' M' F M' U' F M' F' U L M'  (12s) 
F M2 F' U' F M2 U' M U F' U M'  (12s) 
M' U' M F' M' F M' F M' F' U M'  (12s) 
x' L' D' M' D M' F' D M' D' F R M2  (12s) 
F' M' U M U' F2 M' U M' U' F' M2  (12s) 
x U R' U M U M' U' M' U' L F' M2  (12s) 
x2 B L R2 U' M' U F2 M F2 L F' M2  (12s) 
x U R' M' U' M' U F2 M F2 L F' M2  (12s) 
F L' M2 U' M' U F2 M F2 L F' M2  (12s) 
F' M' F' M' U' F' M' F U M F2 M2  (12s) 
x2 B' M U2 L2 R F' M' F R D2 F M2  (12s) 
F' M D2 R' M2 F' M' F R D2 F M2  (12s) 
x' D' M B2 L' M F' M' F R D2 F M2  (12s) 
