z' x2 L2 B U M2 U' F' D2 S  (8s*) 
z' D2 F U S M' U' M B' R2  (9s) 
y2 B U2 B R E2 R' F' L2 F'  (9s) 
z' x2 F L2 S L' S2 L' B M2 F2  (9s) 
z' R2 S L2 B R' E2 R F' E2  (9s) 
z' R2 M2 B U M2 U' F' D2 S  (9s) 
x2 D2 F S U M2 U' F' D2 S  (9s) 
y' x B2 R D E M2 U' F' D2 S  (9s) 
z' x2 E2 L2 B D S2 D' F' D2 S  (9s) 
z' x2 L2 E2 B D S2 D' F' D2 S  (9s) 
y x' F2 L U S2 D' E' F' D2 S  (9s) 
x2 D2 B L E2 L' B' S D2 S  (9s) 
z R2 F U M2 U' B' U2 E2 S  (9s) 
x2 U B' R E' R' E B' M2 B2 U'  (10s) 
z' S' D2 B F2 L S2 L' B2 F' R2  (10s) 
z2 S' R2 F' S L S2 L' B2 F' R2  (10s) 
z S' U2 B' S2 L S2 L' B2 F' R2  (10s) 
L2 F R E S R' S' E' F' R2  (10s) 
x2 R2 F L E S' L' S' E' F' R2  (10s) 
z' S' D2 B' E2 L' S2 L E2 F R2  (10s) 
z x2 U2 F U S' M' S2 U' M B' R2  (10s) 
z x2 U2 E2 F U S M' U' M B' R2  (10s) 
L2 B S' U S M' U' M B' R2  (10s) 
y x D2 L D E S M' U' M B' R2  (10s) 
z' D2 F D M2 S' M D' M B' R2  (10s) 
y' x' D2 R U M' S' D' E' M B' R2  (10s) 
z2 S' R2 B F2 D S2 D' B S R2  (10s) 
z S' U2 F' S D S2 D' B S R2  (10s) 
S' L2 B' S2 D S2 D' B S R2  (10s) 
z S' U2 B F2 R S2 R' F S2 R2  (10s) 
S' L2 F' S R S2 R' F S2 R2  (10s) 
z' S' D2 B' S2 R S2 R' F S2 R2  (10s) 
L2 F R S E R' E' F' S' R2  (10s) 
z' x2 F S U2 B R E2 R' F' L2 F'  (10s) 
F D2 E2 B R E2 R' F' L2 F'  (10s) 
z' x2 B L2 F S R E2 R' F' L2 F'  (10s) 
z2 x' D B2 D L M E2 R' F' L2 F'  (10s) 
y2 M2 B U2 B L S2 L' F' L2 F'  (10s) 
y2 x' U F2 U R S2 L' M' F' L2 F'  (10s) 
z' x2 B L2 B U M2 U' B' S L2 F'  (10s) 
y2 B2 U2 B R E2 R' F' L2 B' F'  (10s) 
y2 B' U2 B R E2 R' F' L2 B2 F'  (10s) 
z2 F D2 F R E2 R' B' R2 M2 F'  (10s) 
y2 B S' L2 S L' S2 L' B M2 F2  (10s) 
z' B R2 M2 S L' S2 L' B M2 F2  (10s) 
z' x2 L2 S L2 F L S2 L' B M2 F2  (10s) 
z' x' U L2 E' R' M S2 L' B M2 F2  (10s) 
z' x' U L2 E' L' E2 R' M B M2 F2  (10s) 
z' x2 B L2 D S2 D' S L2 F M2 F2  (10s) 
x2 F D2 S D' S2 D' F S M2 F2  (10s) 
x2 D B E' R2 S2 R E R B' D'  (10s) 
z' x2 L2 B U M2 D2 U' S D2 F' D2  (10s) 
z' x2 L2 B U' D2 M2 U S D2 F' D2  (10s) 
z R2 F U E2 M2 U S D2 F' D2  (10s) 
y x' F2 L D E' M2 U S D2 F' D2  (10s) 
z' x2 E2 L2 B D S2 D S D2 F' D2  (10s) 
z' x2 L2 E2 B D S2 D S D2 F' D2  (10s) 
y x' F2 L U S2 D E' S D2 F' D2  (10s) 
z R2 F U M2 U E2 S D2 F' D2  (10s) 
z' x2 U L B D S' M2 D' F' D' L'  (10s) 
z' x2 S U2 F L S2 L' B M2 F2 L2  (10s) 
z S' D2 M2 B L' S2 L F' E2 L2  (10s) 
z' x2 F L2 S L' S2 L' F2 B' M2 B2  (10s) 
y2 F U2 S U' S2 U' F S' M2 B2  (10s) 
z x2 F R2 S R' S2 R' B S2 M2 B2  (10s) 
z' x2 M2 B L2 S R E2 R' L2 F' E2  (10s) 
z' L2 S' E2 R2 B L' S2 L F' E2  (10s) 
z' E2 R2 S L2 B L' S2 L F' E2  (10s) 
z' R2 E2 S L2 B L' S2 L F' E2  (10s) 
z' L2 S' R2 E2 B L' S2 L F' E2  (10s) 
z' x2 E2 M2 B L2 S L S2 L F' E2  (10s) 
z' x2 M2 E2 B L2 S L S2 L F' E2  (10s) 
z' x2 M2 B L2 S L2 R' E2 R F' E2  (10s) 
z' x2 L2 M2 S L2 B R' E2 R F' E2  (10s) 
z' x2 R2 S' R2 M2 B R' E2 R F' E2  (10s) 
z2 U2 S D2 F S R' E2 R F' E2  (10s) 
x2 S E2 F R2 S' R E2 R F' E2  (10s) 
z' x' R2 E L2 U L' M' E2 R F' E2  (10s) 
z' x M2 U L2 E L M' E2 R F' E2  (10s) 
z' M2 F L2 S' R M2 E2 R F' E2  (10s) 
z' x R2 E' L2 D R' S2 L M F' E2  (10s) 
z' M2 F L2 S' R E2 R M2 F' E2  (10s) 
z' x M2 U L2 E R S2 L M' F' E2  (10s) 
z2 U2 S D2 B U' M2 U B' S E2  (10s) 
z' x2 F B2 L2 S L' S2 L' F2 B' M2  (10s) 
y2 B' S' L2 S L' S2 L' F2 B' M2  (10s) 
z x2 F' S2 L2 S L' S2 L' F2 B' M2  (10s) 
z' x2 B' L2 D S2 D' S L2 F' B2 M2  (10s) 
z' x2 F' L2 S' R S2 R' S2 L2 B M2  (10s) 
z' x2 U2 B D S' M' D' M F' L2 M2  (10s) 
y2 F B2 U2 S U' S2 U' F S' M2  (10s) 
z x2 B' S' U2 S U' S2 U' F S' M2  (10s) 
x2 F' S2 U2 S U' S2 U' F S' M2  (10s) 
z x2 F B2 R2 S R' S2 R' B S2 M2  (10s) 
x2 B' S' R2 S R' S2 R' B S2 M2  (10s) 
z' x2 F' S2 R2 S R' S2 R' B S2 M2  (10s) 
z x2 B' R2 U S2 U' S R2 F S2 M2  (10s) 
x2 B' D2 R S2 R' S D2 B S M2  (10s) 
z' x2 L2 B' D S2 D' F' B2 D2 S M2  (10s) 
z x2 R2 B' U S2 U' F S2 D2 S M2  (10s) 
x2 D2 B' R S2 R' B S D2 S M2  (10s) 
z' x' R' L' M B U M2 U' F' D2 S  (10s) 
z' x R L M' B U M2 U' F' D2 S  (10s) 
z' x2 E' L2 E B U M2 U' F' D2 S  (10s) 
z' x2 E2 L2 E2 B U M2 U' F' D2 S  (10s) 
z' x2 E L2 E' B U M2 U' F' D2 S  (10s) 
y2 U2 F' B2 S' U M2 U' F' D2 S  (10s) 
z x2 R2 F2 B' S2 U M2 U' F' D2 S  (10s) 
z2 U2 E2 F S U M2 U' F' D2 S  (10s) 
y x F2 S2 R D E M2 U' F' D2 S  (10s) 
y' x2 D2 L M D E M2 U' F' D2 S  (10s) 
z R2 F U' D2 E2 M2 U' F' D2 S  (10s) 
y x' F2 L U2 D' E' M2 U' F' D2 S  (10s) 
z' x2 L2 B U S2 M2 S2 U' F' D2 S  (10s) 
z' x2 L2 B U' D2 M2 D2 U F' D2 S  (10s) 
z R2 F U E2 M2 D2 U F' D2 S  (10s) 
y x' F2 L D E' M2 D2 U F' D2 S  (10s) 
z' x2 L2 B2 E2 B' D S2 D' F' D2 S  (10s) 
z' M2 E2 R2 B D S2 D' F' D2 S  (10s) 
z' E2 R2 M2 B D S2 D' F' D2 S  (10s) 
z' R2 E2 M2 B D S2 D' F' D2 S  (10s) 
z' x2 E L2 E B D S2 D' F' D2 S  (10s) 
z' R2 M2 E2 B D S2 D' F' D2 S  (10s) 
z' x2 E' L2 E' B D S2 D' F' D2 S  (10s) 
x2 M2 D2 F S D S2 D' F' D2 S  (10s) 
x2 D2 M2 F S D S2 D' F' D2 S  (10s) 
y x' E2 F2 L U E' S2 D' F' D2 S  (10s) 
y x' F2 E2 L U E' S2 D' F' D2 S  (10s) 
y' x' B2 S2 L U S2 D' E' F' D2 S  (10s) 
y x2 D2 R M' U S2 D' E' F' D2 S  (10s) 
z' x2 L2 B D E S2 D' E' F' D2 S  (10s) 
z R2 F U' D2 M2 U' E2 F' D2 S  (10s) 
z' x2 L2 B U E2 M2 U' E2 F' D2 S  (10s) 
y' x B2 R D E' M2 U' E2 F' D2 S  (10s) 
z R2 F U M2 D2 U E2 F' D2 S  (10s) 
y' x E2 B2 R D M2 U' E F' D2 S  (10s) 
y' x B2 E2 R D M2 U' E F' D2 S  (10s) 
y' x B2 R U S2 D U2 E F' D2 S  (10s) 
y' x B2 R U' D2 S2 D' E F' D2 S  (10s) 
y x' F2 L U E2 S2 D' E F' D2 S  (10s) 
z' x2 L2 B D E' S2 D' E F' D2 S  (10s) 
z2 U2 E2 B L E2 L' B' S D2 S  (10s) 
z x2 R2 F S L E2 L' B' S D2 S  (10s) 
x B2 U R M' E2 L' B' S D2 S  (10s) 
x2 M2 D2 B R S2 R' B' S D2 S  (10s) 
x2 D2 M2 B R S2 R' B' S D2 S  (10s) 
x' F2 D L S2 R' M B' S D2 S  (10s) 
z x2 R2 B D M2 D' B2 F S2 D2 S  (10s) 
y2 U2 B R E2 R' B F2 S' D2 S  (10s) 
z' x2 B L2 B U M2 U' F' D2 B' S  (10s) 
z' x2 B2 L2 B U M2 U' F' D2 B2 S  (10s) 
z' x2 B' L2 B U M2 U' F' D2 B S  (10s) 
y x' F2 L U S2 U' R' D U E' S  (10s) 
z x2 L2 M2 F U M2 U' B' U2 E2 S  (10s) 
z2 D2 B S' U M2 U' B' U2 E2 S  (10s) 
y x' F2 L D E M2 U' B' U2 E2 S  (10s) 
z E2 R2 F D S2 D' B' U2 E2 S  (10s) 
z R2 E2 F D S2 D' B' U2 E2 S  (10s) 
y' x B2 R U S2 D' E' B' U2 E2 S  (10s) 
z2 D2 F R E2 R' F' S' U2 E2 S  (10s) 
z2 D2 S' U2 B U' M2 U B' E2 S  (10s) 
x2 E2 B U2 S' U M2 U B' E2 S  (10s) 
y' x B2 R U S2 U' L' D' U' E S  (10s) 
x2 B' D2 B L E2 L' F' R2 F S2  (10s) 
z' x2 S' D2 F2 B L' E2 L F R2 S2  (10s) 
z x2 S' U2 B' S2 L' E2 L F R2 S2  (10s) 
x2 S' R2 F' S L' E2 L F R2 S2  (10s) 
z x2 F R2 S R' S2 R' B M2 B2 S2  (10s) 
z x2 F B2 R2 S R' S2 R' B M2 S2  (10s) 
x2 B' S' R2 S R' S2 R' B M2 S2  (10s) 
z' x2 F' S2 R2 S R' S2 R' B M2 S2  (10s) 
z x2 B' R2 U S2 U' S R2 F M2 S2  (10s) 
z' x2 L2 B U M2 U S2 U2 F' D2 S'  (10s) 
z x2 B2 R2 B D M2 D' F' U2 F2 S'  (10s) 
z x2 S2 R2 B' U' S2 U F D2 M2 S'  (10s) 
z R2 F U M2 U' B' U2 S2 E2 S'  (10s) 
x2 U B' R E' R' E F2 B M2 F2 U'  (11s) 
y2 D B' L E L' E' B' S2 M2 F2 U'  (11s) 
z x2 L B' U M U' M' F' S M2 F2 U'  (11s) 
y' x2 D E B' R E' R' E B' M2 B2 U'  (11s) 
